employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
43343,Analytics,region_29,Bachelor's,m,other,2,30,3.0,7,0,88,0
66447,Analytics,region_28,Master's & above,m,other,1,36,3.0,10,0,82,0
34464,Sales & Marketing,region_29,Bachelor's,f,other,1,30,4.0,2,0,47,0
54677,Procurement,region_31,Bachelor's,m,other,2,33,3.0,3,0,71,0
67999,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,44,5.0,11,0,48,0
20467,Sales & Marketing,region_22,Master's & above,m,sourcing,1,32,5.0,7,0,45,0
33438,R&D,region_30,Bachelor's,f,other,1,30,5.0,4,0,86,0
67187,Analytics,region_28,Bachelor's,m,other,1,28,5.0,2,0,84,1
72689,Finance,region_7,Bachelor's,f,other,1,28,4.0,3,0,62,0
6595,Operations,region_29,Bachelor's,m,other,1,34,4.0,2,0,60,0
41264,Technology,region_2,Bachelor's,m,other,1,36,1.0,5,0,80,0
30887,Sales & Marketing,region_10,Master's & above,m,sourcing,1,57,4.0,7,0,47,0
30576,Operations,region_12,Bachelor's,m,other,1,33,3.0,3,0,56,0
49549,Operations,region_13,Master's & above,f,sourcing,1,39,5.0,3,0,59,1
24557,Operations,region_25,Bachelor's,m,sourcing,1,28,1.0,4,0,61,0
30310,HR,region_22,Master's & above,m,other,1,33,4.0,7,0,54,0
31895,Technology,region_15,Bachelor's,m,sourcing,3,43,3.0,16,0,79,0
65697,HR,region_11,Bachelor's,m,other,1,32,3.0,6,0,51,0
13086,Sales & Marketing,region_7,Bachelor's,m,other,1,32,3.0,4,0,65,1
54073,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,33,4.0,10,0,46,0
72812,Technology,region_13,Bachelor's,m,other,1,40,3.0,3,0,83,0
43277,Operations,region_7,Master's & above,m,other,1,37,4.0,11,0,59,0
11060,Procurement,region_4,Bachelor's,m,sourcing,1,30,5.0,4,0,72,0
42055,Technology,region_26,Bachelor's,m,other,1,33,4.0,7,0,77,0
76389,HR,region_2,Bachelor's,m,referred,1,28,5.0,5,0,50,0
75260,Technology,region_25,Master's & above,f,other,1,33,3.0,7,0,81,0
60370,Operations,region_30,Bachelor's,f,other,1,36,4.0,9,0,64,0
38494,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,54,5.0,11,0,46,0
68974,Legal,region_24,Bachelor's,m,sourcing,1,33,2.0,7,0,64,0
24901,R&D,region_4,Bachelor's,m,other,1,32,5.0,5,0,82,0
37832,Procurement,region_10,Master's & above,f,other,1,42,3.0,4,0,69,0
53896,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,35,5.0,10,0,49,0
43600,Technology,region_2,Bachelor's,m,sourcing,1,31,4.0,4,0,75,0
10497,Sales & Marketing,region_14,Bachelor's,m,other,1,40,3.0,9,0,49,0
67171,Procurement,region_2,Bachelor's,f,other,5,30,3.0,3,0,74,0
59435,HR,region_31,Master's & above,f,sourcing,1,36,1.0,8,0,55,0
70818,Procurement,region_13,Bachelor's,m,sourcing,1,37,3.0,3,0,72,0
60388,Procurement,region_2,Bachelor's,f,other,2,29,1.0,3,0,75,0
13953,Operations,region_7,Master's & above,m,other,1,44,1.0,6,0,61,0
62285,Procurement,region_2,Master's & above,f,sourcing,1,49,5.0,20,0,78,0
42574,Technology,region_1,Bachelor's,f,other,1,29,1.0,8,0,80,0
34468,R&D,region_22,Bachelor's,m,other,1,32,3.0,4,0,78,0
40213,Legal,region_2,Master's & above,f,sourcing,1,38,3.0,8,0,60,0
6195,Operations,region_31,Bachelor's,m,sourcing,1,33,4.0,5,0,60,0
6416,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,29,5.0,2,0,47,0
13436,Sales & Marketing,region_14,Master's & above,m,sourcing,1,38,5.0,4,0,46,0
55373,Sales & Marketing,region_28,Master's & above,f,sourcing,1,32,1.0,6,0,46,0
31734,Operations,region_19,Bachelor's,m,sourcing,1,40,4.0,14,0,60,0
37641,Operations,region_14,Master's & above,m,sourcing,1,44,5.0,12,0,56,0
11925,Sales & Marketing,region_11,Bachelor's,m,sourcing,2,31,1.0,2,0,50,0
62193,Operations,region_13,Bachelor's,f,other,1,29,3.0,3,0,60,0
8277,Analytics,region_17,Bachelor's,m,other,1,30,5.0,6,0,83,1
58879,Technology,region_22,Bachelor's,f,sourcing,1,29,5.0,5,0,82,0
18133,Finance,region_22,Bachelor's,m,other,1,25,5.0,2,0,60,0
2416,Finance,region_15,Bachelor's,m,other,1,36,3.0,6,0,62,0
8047,Technology,region_20,Master's & above,f,sourcing,1,31,3.0,6,0,81,0
70275,Sales & Marketing,region_23,Master's & above,f,other,1,32,1.0,3,0,50,0
26974,Finance,region_6,Bachelor's,m,sourcing,2,28,3.0,2,0,58,0
27107,HR,region_2,Master's & above,m,sourcing,1,48,1.0,15,0,49,0
24145,Analytics,region_26,Bachelor's,m,other,2,28,5.0,3,0,87,0
