employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won?,avg_training_score,is_promoted
76605,Operations,region_11,Bachelor's,m,other,1,24,4.0,2,0,63,0
58495,Operations,region_15,Bachelor's,m,other,1,41,3.0,6,0,60,0
46502,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,24,3.0,3,0,52,0
12156,Sales & Marketing,region_15,Bachelor's,m,other,1,34,2.0,10,0,55,0
4194,Sales & Marketing,region_7,Bachelor's,m,other,1,48,3.0,20,0,49,1
68763,Technology,region_2,Below Secondary,m,referred,1,23,4.0,2,0,82,0
25517,Technology,region_22,Bachelor's,m,other,1,28,4.0,6,0,77,0
44068,Sales & Marketing,region_6,Bachelor's,m,other,2,36,3.0,10,0,50,0
34733,Operations,region_13,Bachelor's,m,other,1,30,3.0,5,0,59,0
2464,Procurement,region_24,Master's & above,f,sourcing,3,33,3.0,6,0,72,0
35099,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,39,1.0,7,0,45,0
37560,Procurement,region_13,Bachelor's,f,other,1,29,3.0,2,0,70,0
59800,Procurement,region_17,Master's & above,f,sourcing,1,46,3.0,13,0,69,0
27117,Procurement,region_25,Bachelor's,f,other,1,28,5.0,4,0,76,0
37987,Operations,region_31,Bachelor's,f,other,2,35,1.0,9,0,55,0
41696,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,28,3.0,2,0,54,1
49581,Legal,region_2,Bachelor's,m,other,1,35,2.0,8,0,59,0
7759,Sales & Marketing,region_23,Bachelor's,m,other,1,37,3.0,7,0,46,0
30294,Finance,region_15,Bachelor's,m,other,1,27,4.0,4,0,61,0
10497,Sales & Marketing,region_14,Bachelor's,m,other,1,40,3.0,9,0,49,0
58674,Operations,region_32,Bachelor's,m,other,1,31,3.0,4,0,62,0
54348,Operations,region_19,Bachelor's,m,other,1,37,1.0,7,0,61,0
44992,Sales & Marketing,region_17,Bachelor's,m,other,1,32,5.0,6,0,47,0
63688,Procurement,region_17,Master's & above,f,other,1,53,4.0,14,0,69,0
63133,Legal,region_22,Bachelor's,m,other,1,31,1.0,5,0,56,0
44103,Procurement,region_13,Master's & above,f,other,1,32,5.0,3,0,74,0
76203,Sales & Marketing,region_32,Bachelor's,f,other,1,31,3.0,2,0,50,0
62309,Operations,region_16,Bachelor's,f,sourcing,1,49,5.0,3,0,66,1
47119,R&D,region_7,Bachelor's,m,sourcing,1,32,1.0,7,0,85,0
26920,Technology,region_2,Master's & above,m,other,1,46,5.0,3,0,83,0
43493,Procurement,region_19,Bachelor's,m,other,1,33,4.0,8,0,68,0
8110,Operations,region_7,Bachelor's,m,other,1,49,3.0,6,0,59,0
6226,Legal,region_25,Bachelor's,m,sourcing,1,32,3.0,4,0,52,0
52681,Analytics,region_2,Master's & above,m,other,2,39,3.0,5,0,84,0
35382,Operations,region_14,Bachelor's,m,other,1,32,4.0,2,0,60,0
6738,Procurement,region_10,Bachelor's,f,other,1,32,5.0,10,0,72,0
74290,Operations,region_16,Bachelor's,m,other,1,39,2.0,10,0,59,0
62474,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,36,1.0,2,0,48,0
58527,Finance,region_7,Bachelor's,f,other,1,30,3.0,3,0,59,0
71718,Procurement,region_2,Bachelor's,m,sourcing,1,54,2.0,12,0,67,0
50130,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,42,3.0,14,0,46,0
28040,Sales & Marketing,region_11,Bachelor's,m,other,4,34,1.0,5,0,50,0
51322,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,33,5.0,3,0,62,1
52105,Procurement,region_17,Bachelor's,m,other,1,45,1.0,11,0,69,0
57563,Operations,region_7,Master's & above,f,sourcing,1,32,4.0,10,0,61,0
75260,Technology,region_25,Master's & above,f,other,1,33,3.0,7,0,81,0
11489,Sales & Marketing,region_23,Bachelor's,m,other,6,30,4.0,2,0,49,0
3790,Sales & Marketing,region_22,Master's & above,m,other,1,41,5.0,6,0,49,0
55390,Technology,region_3,Bachelor's,m,other,2,28,5.0,3,0,79,1
75851,HR,region_2,Master's & above,m,other,1,55,3.0,7,0,48,0
73381,HR,region_5,Bachelor's,f,sourcing,1,32,2.0,5,0,53,0
29228,Technology,region_7,Master's & above,m,other,2,57,1.0,5,0,81,0
5473,Analytics,region_31,Bachelor's,m,sourcing,1,27,2.0,3,0,93,0
49687,Sales & Marketing,region_22,Bachelor's,m,other,2,25,1.0,4,0,51,0
47467,Sales & Marketing,region_31,Master's & above,m,sourcing,1,34,5.0,8,0,47,0
